ID;LONG;LAT;PROF;Globocassidulina;Obs_bin;Obs>1_bin
84;-53,7187;-35,5237;54;4,1;1;1
85;-53,94;-35,3262;28;18,8;1;1
86;-54,1255;-35,2613;27;2,1;1;1
87;-54,3573;-35,0422;40;0;0;0
88;-53,4207;-34,0708;23;0;0;0
89;-53,0892;-34,252;34;0;0;0
90;-52,938;-34,368;66;0;0;0
91;-52,781;-34,47;36;0;0;0
92;-52,633;-34,5347;60;0;0;0
93;-52,3923;-34,7087;97;1,2;1;1
94;-52,429;-32,9602;15;0;0;0
95;-52,303;-33,0675;19;0;0;0
96;-52,107;-33,2367;42;5,3;1;1
97;-51,88;-33,3735;64;3,8;1;1
98;-51,72;-33,4723;54;0;0;0
99;-51,5175;-33,6137;92;10,8;1;1
100;-50,5658;-32,9748;103;45,4;1;1
101;-50,7777;-32,8575;84;16;1;1
102;-51,0577;-32,7272;64;2,4;1;1
103;-51,3515;-32,6003;56;2,1;1;1
104;-51,5115;-32,4962;46;19,2;1;1
105;-51,7102;-32,3833;27;0;0;0
106;-52,048;-32,3193;19;0;0;0
107;-50,5362;-30,982;30;1;1;0
108;-50,3847;-31,0915;74;21,6;1;1
109;-50,2295;-31,1692;104;37,5;1;1
110;-49,232;-30,0237;104;33,1;1;1
111;-49,3765;-29,8375;47;17,7;1;1
112;-49,6403;-29,5198;31;17,1;1;1
113;-48,7007;-28,5818;53;59,6;1;1
114;-48,5182;-28,67;75;17,1;1;1
115;-48,317;-28,7607;109;20,9;1;1
116;-47,607;-27,395;131;37,2;1;1
117;-47,8583;-27,2848;100;30,8;1;1
118;-48,0933;-27,2018;65;21,6;1;1
119;-48,39;-27,1453;31;2,7;1;1
120;-56,88;-34,86;5,5;0;0;0
121;-56,68;-34,9;5,7;0;0;0
122;-56,49;-34,95;7,2;0;0;0
123;-56,29;-34,98;8,4;0;0;0
124;-56,1;-35,02;10,3;0;0;0
125;-55,91;-35,05;12;0;0;0
126;-55,72;-35,1;13,8;0;0;0
127;-55,52;-35,13;20;0,074252831;1;0
128;-55,33;-35,18;19;0,172339509;1;0
129;-55,12;-35,22;22;0,406917599;1;0
130;-54,9;-35,25;26;0;0;0
131;-54,73;-35,14;37,5;1,888064734;1;1
132;-54,57;-35,06;34;0;0;0
133;-54,41;-34,92;34;0;0;0
134;-54,26;-34,82;33,5;0,492610837;1;0
135;-54,11;-34,72;25,5;0,288184438;1;0
136;-53,95;-34,62;23;0,207039337;1;0
137;-53,79;-34,51;25,8;0;0;0
138;-53,63;-34,42;28;1,333756748;1;1
139;-53,48;-34,29;28;0,425114454;1;0
140;-55,05;-35,17;30;1,500352432;1;1
141;-54,97;-35,09;29;0;0;0
142;-54,94;-35,05;27,5;0;0;0
143;-54,72;-35,04;29,4;0;0;0
144;-46,94;-27,21;402;0,528244401;1;0
145;-46,76;-27,26;707;3,181818182;1;1
146;-46,62;-27,3;1045;1,701676764;1;1
147;-46,52;-27,32;1308;2,733050847;1;1
148;-46,22;-27,39;1902;0;0;0
149;-45,66;-27,54;2410;4,487179487;1;1
150;-46,79;-26,03;406;0,280112045;1;0
151;-45,61;-26,2;688;0;0;0
152;-45,56;-26,24;992;0;0;0
153;-45,51;-26,28;1299;0;0;0
154;-45,41;-26,38;1900;1,593600717;1;1
155;-45,07;-26,68;2408;1,661129568;1;1
156;-45,11;-25,63;392;0,215148926;1;0
157;-45,08;-25,67;694;0,653594771;1;0
158;-45,06;-25,69;1002;0;0;0
159;-45,02;-25,73;1306;0,164473684;1;0
160;-44,83;-25,95;1906;1,666666667;1;1
161;-44,43;-26,42;2398;1,543209877;1;1
162;-43,58;-24,26;399;2,919708029;1;1
163;-43,54;-24,34;692;1,140684411;1;1
164;-43,49;-24,43;996;0;0;0
165;-43,43;-24,54;1287;0;0;0
166;-43,27;-24,87;1908;0,346020761;1;0
167;-42,65;-26,12;2401;0;0;0
168;-41,79;-23,77;398;2,184466019;1;1
169;-41,74;-23,85;686;1,967213115;1;1
170;-41,72;-23,91;1000;0,755241049;1;0
171;-41,67;-23,98;1297;1,036814182;1;1
172;-41,52;-24,22;1910;0,530503979;1;0
173;-41,35;-24,52;2408;2,18579235;1;1
174;-40,203;-21,068;400;27,88356808;1;1
175;-39,884;-20,5897;400;41,41687885;1;1
176;-39,8069;-20,2475;400;19,74854061;1;1
177;-39,4946;-19,7753;400;59,01273564;1;1
178;-39,1682;-19,6021;400;66,65631748;1;1
179;-38,6664;-19,5867;400;61,02334225;1;1
180;-40,136;-21,08;1000;49,51403468;1;1
181;-39,8551;-20,5936;1000;38,92813525;1;1
182;-39,7733;-20,2629;1000;35,2821273;1;1
183;-39,4488;-19,8176;1000;52,38870273;1;1
184;-39,1125;-19,6627;1000;47,48737266;1;1
185;-38,574;-19,8627;1000;30,22666617;1;1
